Step,AgentID,dst_to_center,scaled_dst_to_center
1,Larva_0,0.0,0.0
2,Larva_0,0.0,0.0
3,Larva_0,0.0,0.0
4,Larva_0,0.0,0.0
5,Larva_0,0.0,0.0
6,Larva_0,0.0,0.0
7,Larva_0,0.0,0.0
8,Larva_0,0.10627086349156936,0.030565111964202415
9,Larva_0,0.19694280537542486,0.05664373751250764
10,Larva_0,0.2512652239507929,0.07226768890774699
11,Larva_0,0.3694446088294062,0.1062578722185464
12,Larva_0,0.5104450504912019,0.14681173754718063
13,Larva_0,0.7085191172744374,0.2037808429964347
14,Larva_0,0.8871183535842799,0.2551486918609021
15,Larva_0,0.9858889457695618,0.2835566120539399
16,Larva_0,1.057501852255388,0.3041535699867686
17,Larva_0,1.1906969335665496,0.34246249530833306
18,Larva_0,1.3482212955144786,0.3877688907006125
19,Larva_0,1.6344393560073749,0.47008954546631176
20,Larva_0,1.895381207324227,0.5451403791529936
21,Larva_0,1.9649427224314522,0.5651473258154772
22,Larva_0,2.04449178724533,0.5880268432372647
23,Larva_0,2.143640230986327,0.6165434392679389
24,Larva_0,2.3373299163437156,0.6722515301288866
25,Larva_0,2.4579176733147063,0.7069343977770145
26,Larva_0,2.559819795155102,0.7362429933892876
27,Larva_0,2.6479315817946167,0.7615852794639306
28,Larva_0,2.6926101169025767,0.7744355037220565
29,Larva_0,2.80974065950599,0.8081240240885549
30,Larva_0,3.061522959429893,0.8805404318877538
31,Larva_0,3.2853262009844717,0.944909638190569
32,Larva_0,3.5616352967029092,1.0243803244152232
33,Larva_0,3.6904713318265667,1.0614355219472438
34,Larva_0,3.690471331826567,1.061435521947244
35,Larva_0,3.690471331826567,1.061435521947244
36,Larva_0,3.690471331826567,1.061435521947244
37,Larva_0,3.690471331826567,1.061435521947244
38,Larva_0,3.6904713318265667,1.0614355219472438
39,Larva_0,3.7735212256608333,1.0853219308862363
40,Larva_0,3.8732197207492125,1.113996730026083
41,Larva_0,4.021270995128233,1.1565785217718194
42,Larva_0,4.2427054528212675,1.2202664299128592
43,Larva_0,4.348704915428798,1.2507534828669502
44,Larva_0,4.476204009134747,1.2874241557721895
45,Larva_0,4.556535851324353,1.3105288118382497
46,Larva_0,4.738998731632584,1.3630079033097742
47,Larva_0,4.875188560797281,1.4021781635301098
48,Larva_0,5.074087382415816,1.4593844809776078
49,Larva_0,5.200159543355691,1.4956447463795348
50,Larva_0,5.2924977104576705,1.5222026035692913
51,Larva_0,5.330992025300365,1.5332741522938913
52,Larva_0,5.3734329877975275,1.5454808167358078
53,Larva_0,5.589716510916486,1.6076872379781415
54,Larva_0,5.826781701982531,1.6758707820812113
55,Larva_0,6.048122478270173,1.7395317460293582
56,Larva_0,6.128013178848327,1.7625095230779428
57,Larva_0,6.161909024089868,1.772258482208318
58,Larva_0,6.253765808300972,1.798677886378368
59,Larva_0,6.451140472886116,1.8554458331488428
60,Larva_0,6.688009143709995,1.9235728550499873
61,Larva_0,6.9204607179678215,1.9904294529923687
62,Larva_0,7.0310166730130454,2.0222270222718794
63,Larva_0,7.074646107326472,2.0347755092316233
64,Larva_0,7.144699865869972,2.054924032571374
65,Larva_0,7.297475117777905,2.0988645118947176
66,Larva_0,7.472411050321092,2.1491787390409836
67,Larva_0,7.58454630691656,2.1814305393968447
68,Larva_0,7.640617189581195,2.197557375580049
69,Larva_0,7.654875416940662,2.2016582579981896
70,Larva_0,7.654875416940662,2.2016582579981896
71,Larva_0,7.728369840326568,2.222796368725152
72,Larva_0,7.800697318210958,2.24359884822886
73,Larva_0,7.853753089321363,2.2588584926041526
74,Larva_0,7.9150437611537825,2.276486619311411
75,Larva_0,7.955903280347239,2.2882384366762007
76,Larva_0,8.086002772965072,2.3256570237441934
77,Larva_0,8.283726537646224,2.38252537699647
78,Larva_0,8.514518346918205,2.448904601358174
79,Larva_0,8.711991892668678,2.505700987851355
80,Larva_0,8.771797136547352,2.5229018829522323
81,Larva_0,8.801431320534398,2.5314251236766636
82,Larva_0,8.880027964113589,2.554030710307651
83,Larva_0,9.058141057604859,2.60525873712502
84,Larva_0,9.22654627735994,2.6536946322335466
85,Larva_0,9.294583597833652,2.6732631974046415
86,Larva_0,9.382430075029438,2.6985291764597847
87,Larva_0,9.44380199083086,2.7161806701646123
88,Larva_0,9.48970273847993,2.7293824212847184
89,Larva_0,9.642515209777642,2.773333605469004
90,Larva_0,9.727751614411401,2.7978488880729095
91,Larva_0,9.85497495305654,2.8344402496407657
92,Larva_0,9.926537015981113,2.8550225841943226
93,Larva_0,10.030565958995702,2.884942885830065
94,Larva_0,10.142226840484332,2.917058248711183
95,Larva_0,10.305342828106603,2.9639728804457945
96,Larva_0,10.494352608821279,3.0183349597595823
97,Larva_0,10.682957809925634,3.0725806758418917
98,Larva_0,10.813578709633612,3.1101492274962776
99,Larva_0,10.844509970741823,3.119045527271253
100,Larva_0,10.941004312126282,3.1467987632140653
101,Larva_0,11.124902445757542,3.1996906553072657
102,Larva_0,11.340835613503382,3.2617963090310647
103,Larva_0,11.422965897357892,3.2854182241937657
104,Larva_0,11.526298478357923,3.315138241553618
105,Larva_0,11.60304727416187,3.337212359141375
106,Larva_0,11.639103852274678,3.3475827778135767
107,Larva_0,11.754768314912507,3.3808496313485064
108,Larva_0,11.959343254746413,3.4396884864744868
109,Larva_0,12.121255244978743,3.4862568303008326
110,Larva_0,12.225358792554301,3.516198589339706
111,Larva_0,12.269634821193737,3.5289330466333744
112,Larva_0,12.269634821193737,3.5289330466333744
113,Larva_0,12.479570991625641,3.5893138729837317
114,Larva_0,12.692047491956025,3.6504253367376256
115,Larva_0,12.847667091020396,3.6951838934383923
116,Larva_0,12.901788741315292,3.7107501008314667
117,Larva_0,12.966971487112128,3.7294976470351586
118,Larva_0,13.001441858508464,3.739411848600485
119,Larva_0,13.196947290490563,3.795642175726947
120,Larva_0,13.42595468917324,3.8615081765421384
121,Larva_0,13.595103584767669,3.91015796410009
122,Larva_0,13.636642560343358,3.9221052034245347
123,Larva_0,13.697756411192698,3.939682473735525
124,Larva_0,13.772618941632008,3.9612140727987293
125,Larva_0,13.945349089974034,4.010893882957477
126,Larva_0,14.0915955026271,4.052956569099653
127,Larva_0,14.253756621019019,4.099596565962786
128,Larva_0,14.31917570607052,4.118412086920264
129,Larva_0,14.365109638960908,4.1316233826190345
130,Larva_0,14.485359899504022,4.1662091811762885
131,Larva_0,14.638336648832576,4.210207614213561
132,Larva_0,14.875873590552905,4.278526840959018
133,Larva_0,15.064106383673199,4.332665446857452
134,Larva_0,15.171639011591887,4.363593461405865
135,Larva_0,15.171639011591886,4.3635934614058645
136,Larva_0,15.256133777322622,4.387895437414123
137,Larva_0,15.403586273386974,4.430305011435939
138,Larva_0,15.6144668753242,4.490957470609766
139,Larva_0,15.787776883152238,4.540804057150403
140,Larva_0,15.856595041823018,4.56059720322858
141,Larva_0,15.875571851021473,4.566055221342078
142,Larva_0,15.960245333449166,4.590408598982664
143,Larva_0,16.104003480456296,4.631755622189902
144,Larva_0,16.24242115743688,4.671566645227953
145,Larva_0,16.366781380883634,4.707334531444901
146,Larva_0,16.462470913662855,4.734856292227725
147,Larva_0,16.4855051511345,4.7414812882445005
148,Larva_0,16.552691708345424,4.7608051609991815
149,Larva_0,16.724189241153653,4.8101304522374875
150,Larva_0,16.948639262521283,4.874685682223113
151,Larva_0,17.121387515779233,4.924370699630246
152,Larva_0,17.187828699695636,4.943480191721651
153,Larva_0,17.279751836046646,4.969918679773384
154,Larva_0,17.37722364746357,4.99795305092111
155,Larva_0,17.4443082351065,5.017247595681643
156,Larva_0,17.638188682817074,5.0730105526883245
157,Larva_0,17.736095967936254,5.101170172676886
158,Larva_0,17.824463334669755,5.1265859674624945
159,Larva_0,17.824463334669755,5.1265859674624945
160,Larva_0,17.92944678770238,5.156780800654805
161,Larva_0,18.066650894072243,5.196242782381113
162,Larva_0,18.202198070708157,5.235228205988186
163,Larva_0,18.35147561479138,5.278162691497535
164,Larva_0,18.407315963254714,5.294223222548337
165,Larva_0,18.431523433213716,5.301185658020838
166,Larva_0,18.59181399370952,5.347287654065574
167,Larva_0,18.724768245725343,5.385527313229562
168,Larva_0,18.888305549279618,5.43256312181558
169,Larva_0,19.03594333234918,5.475025987190017
170,Larva_0,19.107150675995673,5.495506299099793
171,Larva_0,19.18952806373053,5.5191992850858735
172,Larva_0,19.3139099915302,5.5549734138038716
173,Larva_0,19.447851555515083,5.593497038862994
174,Larva_0,19.63144497805694,5.646301291425862
175,Larva_0,19.786576556532058,5.690919486004206
176,Larva_0,19.959998542235944,5.740798279080109
177,Larva_0,19.987066018666535,5.748583295786547
178,Larva_0,20.084022954840844,5.776469581006286
179,Larva_0,20.30029414103412,5.8386724539617
180,Larva_0,20.5853167680354,5.920649283926166
181,Larva_0,20.778631271189532,5.976249466695725
182,Larva_0,20.876378532756412,6.004363061483848
183,Larva_0,20.91953275137879,6.016774869204083
184,Larva_0,20.991587181969212,6.037498816165216
185,Larva_0,21.190040435675563,6.094576981524021
186,Larva_0,21.362881009307316,6.144288551670721
187,Larva_0,21.54010528094668,6.195260939844278
188,Larva_0,21.60256589473428,6.213225559600306
189,Larva_0,21.703168997903344,6.242160537742764
190,Larva_0,21.851449381323004,6.284808224723084
191,Larva_0,22.06214098873662,6.3454063262057705
192,Larva_0,22.375312082976826,6.435479082226646
193,Larva_0,22.574035205794164,6.492634866034403
194,Larva_0,22.73853924914414,6.5399487236465115
195,Larva_0,22.73853924914414,6.5399487236465115
196,Larva_0,22.73853924914414,6.5399487236465115
197,Larva_0,22.73853924914414,6.5399487236465115
198,Larva_0,22.73853924914414,6.5399487236465115
199,Larva_0,22.73853924914414,6.5399487236465115
200,Larva_0,22.809088015621374,6.560239618774922
201,Larva_0,22.87159349456522,6.578217142430278
202,Larva_0,23.038328764315477,6.62617273459221
203,Larva_0,23.258354747018043,6.689455543966118
204,Larva_0,23.439903295830153,6.741671659833294
205,Larva_0,23.521270164880924,6.765074005321066
206,Larva_0,23.56878820267877,6.778740913614565
207,Larva_0,23.652545702135704,6.802830840661652
208,Larva_0,23.844467371689646,6.85803042336513
209,Larva_0,23.981153078284834,6.897343305454579
210,Larva_0,24.138799139260307,6.942684703332776
211,Larva_0,24.17421829395626,6.952871789363607
212,Larva_0,24.26354178258246,6.978562579305382
213,Larva_0,24.37754021895887,7.0113502584218255
214,Larva_0,24.46748344118754,7.037219293146085
215,Larva_0,24.6153730347648,7.079754583041305
216,Larva_0,24.79098025974388,7.130261884072451
217,Larva_0,24.840065707388668,7.14437960320809
218,Larva_0,24.936064251208002,7.171990240252281
219,Larva_0,25.029875344425506,7.198971733330152
220,Larva_0,25.227913209426873,7.255930426597932
221,Larva_0,25.46277546918727,7.323480374249498
222,Larva_0,25.595145209942068,7.361551919110557
223,Larva_0,25.711468879420504,7.39500837052988
224,Larva_0,25.784063433203865,7.415887665112405
225,Larva_0,25.898297115434605,7.4487430045041165
226,Larva_0,26.05122680662581,7.492727902907439
227,Larva_0,26.27782593628887,7.557901249030591
228,Larva_0,26.40525183302334,7.594550869376782
229,Larva_0,26.495430076628224,7.620487499812999
230,Larva_0,26.565238565356168,7.640565479834217
231,Larva_0,26.632628040620798,7.659947714898446
232,Larva_0,26.748503069340178,7.693275130431717
233,Larva_0,26.86831844176929,7.727735848572197
234,Larva_0,26.956693021775237,7.753153718004354
235,Larva_0,27.01017464659956,7.768535844365946
236,Larva_0,27.055691808066957,7.781627270283023
237,Larva_0,27.10207003595677,7.794966351961473
238,Larva_0,27.199117002864284,7.8228785313854186
239,Larva_0,27.32861070398334,7.860122883631385
240,Larva_0,27.40871903887775,7.883163255609802
241,Larva_0,27.449481374873503,7.8948871216131264
242,Larva_0,27.474129449866712,7.90197628177535
243,Larva_0,27.50692534397928,7.91140887828
244,Larva_0,27.588749519432877,7.934942752024389
245,Larva_0,27.6556233364728,7.954176675963108
246,Larva_0,27.71675253665466,7.971758360974906
247,Larva_0,27.746138564951092,7.9802102283593745
248,Larva_0,27.786260136286806,7.9917498007291154
249,Larva_0,27.862821412156684,8.013769984740048
250,Larva_0,27.979449497149087,8.047313990677726
251,Larva_0,28.194981573614395,8.109304284466594
252,Larva_0,28.315415618586048,8.143942942212632
253,Larva_0,28.38986376985679,8.165355359542794
254,Larva_0,28.423073518817667,8.174906986978028
255,Larva_0,28.490780694936937,8.194380597626067
256,Larva_0,28.593243059958773,8.22385032767355
257,Larva_0,28.69581631648569,8.253351951799589
258,Larva_0,28.773641886509353,8.275735765982484
259,Larva_0,28.815558414620096,8.28779159514169
260,Larva_0,28.815558414620096,8.28779159514169
261,Larva_0,28.815558414620096,8.28779159514169
262,Larva_0,28.815558414620096,8.28779159514169
263,Larva_0,28.815558414620096,8.28779159514169
264,Larva_0,28.815558414620096,8.28779159514169
265,Larva_0,28.815558414620096,8.28779159514169
266,Larva_0,28.815558414620096,8.28779159514169
267,Larva_0,28.815558414620096,8.28779159514169
268,Larva_0,28.815558414620096,8.28779159514169
269,Larva_0,28.815558414620096,8.28779159514169
270,Larva_0,28.815558414620096,8.28779159514169
271,Larva_0,28.84884113293094,8.297364209668574
272,Larva_0,28.88410082220513,8.307505431025772
273,Larva_0,28.95178033324188,8.326971084776527
274,Larva_0,29.03311156767148,8.350363181206841
275,Larva_0,29.09763238027089,8.368920345384572
276,Larva_0,29.154929289343457,8.385399805355693
277,Larva_0,29.17823491381155,8.392102856388298
278,Larva_0,29.239863482054,8.409828167227364
279,Larva_0,29.351245016069605,8.441863185538866
280,Larva_0,29.47125736670946,8.476380557599978
281,Larva_0,29.574429334673685,8.506054380214996
282,Larva_0,29.657924006757966,8.530068714123866
283,Larva_0,29.657924006757966,8.530068714123866
284,Larva_0,29.703529965076388,8.543185679361924
285,Larva_0,29.752669710678813,8.557319015413622
286,Larva_0,29.79507206007419,8.569514574141888
287,Larva_0,29.849791237079778,8.585252639278599
288,Larva_0,29.88838553402092,8.596352944370967
289,Larva_0,29.90263684412285,8.600451837280936
290,Larva_0,29.91681877229499,8.604530774895705
291,Larva_0,29.93958215962453,8.6110778703041
292,Larva_0,29.97989612800168,8.622672778980709
293,Larva_0,30.060060795266374,8.645729353003114
294,Larva_0,30.100471401969838,8.657352056327912
295,Larva_0,30.124015793682336,8.664123780440972
296,Larva_0,30.124015793682336,8.664123780440972
297,Larva_0,30.124015793682336,8.664123780440972
298,Larva_0,30.124015793682336,8.664123780440972
299,Larva_0,30.124015793682336,8.664123780440972
300,Larva_0,30.124015793682336,8.664123780440972
301,Larva_0,30.141961838312007,8.669285335032688
302,Larva_0,30.181406185276632,8.680630127403028
303,Larva_0,30.347303289983092,8.728344650587385
304,Larva_0,30.49461065441336,8.77071248255028
305,Larva_0,30.59256452762731,8.798885501981417
306,Larva_0,30.637856763318506,8.811912235834203
307,Larva_0,30.654929529092918,8.816822622183656
308,Larva_0,30.708699757922247,8.832287755433839
309,Larva_0,30.836726790156156,8.86911027146604
310,Larva_0,30.94223563315121,8.899456214779214
311,Larva_0,31.050725152483597,8.9306594458097
312,Larva_0,31.110309003158658,8.947796664867736
313,Larva_0,31.110309003158658,8.947796664867736
314,Larva_0,31.110309003158658,8.947796664867736
315,Larva_0,31.110309003158658,8.947796664867736
316,Larva_0,31.110309003158658,8.947796664867736
317,Larva_0,31.162352819072638,8.962765255581985
318,Larva_0,31.188954034704125,8.97041616861164
319,Larva_0,31.302540553298794,9.003085373927219
320,Larva_0,31.457656015543808,9.047698933233379
321,Larva_0,31.566176118198438,9.078910960491148
322,Larva_0,31.653951709072537,9.104156551565165
323,Larva_0,31.68364614064363,9.112697120408438
324,Larva_0,31.72713833122282,9.12520613398888
325,Larva_0,31.787690507771817,9.142621858253161
326,Larva_0,31.93462590731212,9.184882707472765
327,Larva_0,32.04657026272357,9.217079601753037
328,Larva_0,32.10034575020548,9.232546247471452
329,Larva_0,32.1247634717811,9.23956915449741
330,Larva_0,32.182361257380585,9.256135151120539
331,Larva_0,32.28529737781049,9.285741140408001
332,Larva_0,32.37667814401691,9.312023634580973
333,Larva_0,32.501680248722955,9.347976135582382
334,Larva_0,32.56907742878396,9.367360586662894
335,Larva_0,32.56907742878396,9.367360586662894
336,Larva_0,32.65973614160328,9.393435407331616
337,Larva_0,32.860628439860406,9.451215078891941
338,Larva_0,33.02910538288059,9.49967160269921
339,Larva_0,33.19809390768257,9.548275265185191
340,Larva_0,33.257477036456386,9.565354753580433
341,Larva_0,33.290449779225106,9.574838214440547
342,Larva_0,33.3534920434852,9.592970125693336
343,Larva_0,33.50778142755517,9.637346092388674
344,Larva_0,33.6649805600124,9.68255894684724
345,Larva_0,33.80155277547188,9.721839187164942
346,Larva_0,33.88187694610415,9.744941636774769
347,Larva_0,33.88187694610415,9.744941636774769
348,Larva_0,33.93157774977845,9.759236341636523
349,Larva_0,34.04933759626775,9.793105859344152
350,Larva_0,34.19612039314923,9.83532281772482
351,Larva_0,34.26674086045546,9.855634335099008
352,Larva_0,34.34539042927759,9.878255143832494
353,Larva_0,34.42884365372853,9.90225755677345
354,Larva_0,34.469129398845,9.91384434801227
355,Larva_0,34.56921637085734,9.942630879006797
356,Larva_0,34.741287963115134,9.992121278448552
357,Larva_0,34.84174018704994,10.021012861435118
358,Larva_0,34.90630095932688,10.039581518622104
359,Larva_0,34.92934662243984,10.046209800826594
360,Larva_0,34.98194788557888,10.061338721816597
361,Larva_0,35.08861400692457,10.092017515933827
362,Larva_0,35.203519969381034,10.125066213313753
363,Larva_0,35.338467704629295,10.16387922848706
364,Larva_0,35.363013178089545,10.170938878892425
365,Larva_0,35.373997100784514,10.174098021633414
366,Larva_0,35.40841669421273,10.183997618685048
367,Larva_0,35.524200187292976,10.217298707180342
368,Larva_0,35.72972168449151,10.276409806559167
369,Larva_0,35.82531750424899,10.303904614055758
370,Larva_0,35.96108037673083,10.342952075059198
371,Larva_0,35.99398168018552,10.352414988889203
372,Larva_0,36.08030085326691,10.3772416921191
373,Larva_0,36.21602224733664,10.416277223302188
374,Larva_0,36.36709858989811,10.459729070533108
375,Larva_0,36.5485183242087,10.511908137396142
376,Larva_0,36.62109484637532,10.532782245812239
377,Larva_0,36.62109484637532,10.532782245812239
378,Larva_0,36.62109484637532,10.532782245812239
379,Larva_0,36.62109484637532,10.532782245812239
380,Larva_0,36.62109484637532,10.532782245812239
381,Larva_0,36.62109484637532,10.532782245812239
382,Larva_0,36.62109484637532,10.532782245812239
383,Larva_0,36.62109484637532,10.532782245812239
384,Larva_0,36.62109484637532,10.532782245812239
385,Larva_0,36.62109484637532,10.532782245812239
386,Larva_0,36.72119502457993,10.561572575107936
387,Larva_0,36.9324155776886,10.622322809394115
388,Larva_0,37.08752291815458,10.666934032753456
389,Larva_0,37.20957322578278,10.702037552150541
390,Larva_0,37.243199663424086,10.711709025569453
391,Larva_0,37.27435528117479,10.720669853717235
392,Larva_0,37.33946507307273,10.73939641727324
393,Larva_0,37.5397999601231,10.797015768917221
394,Larva_0,37.828983539139685,10.88018935178316
395,Larva_0,38.071850195496765,10.95004148528459
396,Larva_0,38.17099004375241,10.978555609123326
397,Larva_0,38.23282428192836,10.996340073754302
398,Larva_0,38.37004205212707,11.035805985405
