Step,AgentID,first_odor_concentration,olfactory_activation,first_odor_concentration_change,turner_activation,turner_activity,torque,orientation_to_center,centroid_x,centroid_y,bend,front_orientation,rear_orientation,dst_to_center,scaled_dst_to_center
25,Larva_0,1.919201426987147,-0.05256871147696798,-0.003795498388767297,42.6803978377119,-1.4285997307246827,-0.5857258895971199,-170.42822520850768,2.187789883263048,1.118083040688003,-11.14265623347507,36.64134916894758,47.78400540242267,2.4569359493446856,0.7066520390751484
26,Larva_0,1.9144716330100433,-0.054336075617945526,-0.002464459389512156,17.533211315767044,0.19347874567870843,0.07932628572827045,-170.3051749922797,2.2701235384891687,1.180510147947176,-9.516889975525467,37.170168680112795,46.68705865563829,2.558723331938967,0.7359276339401899
27,Larva_0,1.9103775738095072,-0.054936641117984165,-0.0021384799492166692,18.31216706041285,-2.9341658010019294,-1.203007978410791,-170.9115167085404,2.3414565049357763,1.234028078917711,-9.015906274213101,36.87925551327316,45.89516178748627,2.646742122697902,0.7612431729892726
28,Larva_0,1.9066763232370478,-0.054855217048254516,-0.0019374445257325198,3.6278734974102775,1.6273255601189873,0.6672034796487848,-170.90052741967457,2.3775413815007806,1.2612644678605391,-8.20264856609036,37.04502375610841,45.24767232219878,2.691373455809537,0.7740798212374252
29,Larva_0,1.9048125403885219,-0.052073039296253884,-0.0009775035362906937,19.461339731258942,-4.403802854319698,-1.8055591702710763,-172.1526259883933,2.4729817846285527,1.330953779994962,-8.81260395814314,36.13642153740597,44.94902549554914,2.8083940021990323,0.807736705024681
30,Larva_0,1.899691812944716,-0.054226070377012256,-0.002688310442749083,25.307721139723274,-1.2692679114077734,-0.5203998436771871,-173.69784222854776,2.6800385178386703,1.4767911948385173,-8.951937230492662,35.15839750899984,44.1103347394925,3.0599867140645354,0.8800985844231342
31,Larva_0,1.8884300295878513,-0.06487203873954266,-0.005928215976994585,16.125207747672988,-0.9367622345443265,-0.38407251616317384,-175.01537812217208,2.8657760208060656,1.6030478796311376,-8.078280451430881,34.2062473717269,42.28452782315776,3.2836617831038772,0.9444309263667992
32,Larva_0,1.8779889722694778,-0.07322135786362141,-0.005528961706170432,22.66287329142898,-2.701530002324964,-1.1076273009532354,-176.64533389498152,3.098223236019154,1.7531879346263408,-7.964617645835599,32.85883451354886,40.82345215938448,3.559867294482812,1.02387182016453
33,Larva_0,1.8645508817792074,-0.08490861599012944,-0.0071555747603943756,13.59632379709216,-0.3300514390900019,-0.13532109002690076,-177.811418369714,3.2078102687674357,1.8210605996258575,-7.2765693663316275,31.771979539417263,39.048548905748866,3.688672990103554,1.0609182915954063
34,Larva_0,1.8580672625440633,-0.0855631438340263,-0.0034773088246093952,20.370154675981016,-2.9675642279490964,-1.2167013334591295,-179.32237387386408,3.2078102687674357,1.8210605996258578,-8.032154504788927,30.26102403526719,38.293178540056104,3.688672990103554,1.0609182915954063
35,Larva_0,1.8580279725978,-0.07706188665292588,-2.1145599546029148e-05,21.78129860081438,-8.334530533130135,-3.417157518583355,177.5881288914621,3.2078102687674357,1.8210605996258575,-11.121651739462736,27.171526800593366,38.293178540056104,3.688672990103554,1.0609182915954063
36,Larva_0,1.858076580862169,-0.0692882627027236,2.616121236387073e-05,26.369410714780283,-5.591534290879645,-2.292529059260654,173.9597079007373,3.2078102687674357,1.8210605996258575,-14.750072730187537,23.543105809868557,38.293178540056104,3.688672990103554,1.0609182915954063
37,Larva_0,1.8583545767229745,-0.061977633512780975,0.00014961485638900011,5.864484283662916,-4.882809981036611,-2.0019520922250105,170.09430811552096,3.2078102687674357,1.8210605996258575,-18.615472515403887,19.677706024652235,38.293178540056104,3.688672990103554,1.0609182915954063
38,Larva_0,1.8589121188611017,-0.05502190571587729,0.00030001924557926347,12.06088682480258,-7.553749441210336,-3.0970372708962373,165.4245097249411,3.207810268767436,1.8210605996258575,-23.285270905983733,15.007907634072355,38.293178540056104,3.6886729901035546,1.0609182915954063
39,Larva_0,1.8599420397992894,-0.048133980920538416,0.0005540449856331331,19.675980487757258,-0.2755627116778462,-0.11298071178791692,162.27776103661873,3.293974462079778,1.8385055400031352,-26.84769582425577,11.445482715800317,38.293178540056104,3.7723163146077745,1.084975380194601
40,Larva_0,1.8566658769408193,-0.047682085879002106,-0.0017614327696058947,17.746353962013632,-7.34354743478478,-3.0108544482617594,158.48872308635652,3.401402940933695,1.8517980499911297,-29.338858532557975,7.053560888301442,36.39241942085939,3.872815253087002,1.113880398992578
41,Larva_0,1.8529457638023987,-0.047825530504119036,-0.0020036524528312615,18.71708083333734,-1.3004546899251181,-0.5331864228692984,155.8869606105674,3.5652760225778684,1.8617046432950144,-30.375341911733656,3.4594824531317183,33.83482436486537,4.022081214500135,1.1568115531503558
42,Larva_0,1.8464021473856367,-0.05161326954629942,-0.0035314667836440065,10.422740896782486,0.6615394427192051,0.2712311715148741,154.8532980221827,3.813213074764856,1.8657060266664287,-28.89425228927736,0.9245995146265059,29.81885180390386,4.245168186479433,1.2209747494609144
43,Larva_0,1.8351673862460296,-0.06107079358673317,-0.00608467724949012,11.594565675584493,-2.3009276234038083,-0.9433803255955614,153.14767150021416,3.9331458168429836,1.8625393882777732,-25.561261005693453,358.48754504073094,24.048806046424385,4.351860405554802,1.2516610496809795
44,Larva_0,1.8303308134877552,-0.061232348462585406,-0.002635494066929771,12.866117765515419,1.0557028224665606,0.4328381572112898,152.45620380309958,4.0780796232776275,1.8547214373813534,-24.66675272764749,356.91237049715033,21.579123224797787,4.4800362748614155,1.2885263735124397
45,Larva_0,1.8237365390348161,-0.06359277858397039,-0.0036027773801029033,22.22261482360819,2.921164177688573,1.1976773128523148,152.50345225994965,4.169023940415384,1.8490340700014316,-22.274307690653316,356.4215648423221,18.69587253297539,4.560667452005537,1.3117171228509075
46,Larva_0,1.8192575997548028,-0.06295874936128348,-0.002455913551188547,27.097110589375244,3.1876872014265683,1.3069517525848928,154.00938358481028,4.372326741179287,1.8376905184037178,-20.254909704909515,356.80641674802644,17.06132645293593,4.742820634713315,1.3641071405959007
47,Larva_0,1.8081420414136902,-0.07076399271322818,-0.006109941957978246,11.22874106043305,0.11631414800517809,0.047688800682123014,155.09091824702804,4.5219323478498135,1.8301792744398564,-16.614181169466285,357.12576605349096,13.739947222957218,4.878260789986501,1.4030617832360472
48,Larva_0,1.7997359618455437,-0.07430974804127903,-0.004649015052807556,11.609799121295229,2.0431512168728445,0.8376919989178662,156.80985113798923,4.737235070939394,1.8220894204480618,-13.887574653897529,357.8481621874456,11.73573684134314,5.075569522077982,1.4598107668214622
49,Larva_0,1.7871731842588765,-0.08266810450687084,-0.006980344813349569,30.114208667547892,0.48191734542099374,0.19758611162260742,158.03674793694788,4.872096731965065,1.818570811944962,-10.820633812890904,358.505463377776,9.326097190666918,5.20043520906499,1.4957240320180671
50,Larva_0,1.7790118592311028,-0.08462753661329053,-0.0045666111710142366,10.027279971073906,0.8730243096011013,0.3579399669364515,159.1211549930411,4.969988495612773,1.8172132142939001,-8.945046570838175,359.2054527719619,8.150499342800098,5.291790766151633,1.5219992756658882
